dataset,metric,eer_institutional_only,eer_combined,diff_combined_minus_only,ci_lower,ci_upper,separates_from_zero,n_writers,n_pairs,caveat
institutional,eer_all,0.1674,0.1628,-0.0046,-0.0091,-0.0008,True,800,105600,
institutional,eer_skilled,0.2311,0.224,-0.0071,-0.0131,-0.0009,True,800,79200,
cedar,eer_all,0.2408,0.2289,-0.0119,-0.024,0.0079,False,11,6072,
cedar,eer_skilled,0.3195,0.2973,-0.0222,-0.0362,0.0033,False,11,4554,
bhsig260_bengali,eer_all,0.3082,0.1933,-0.1149,-0.1549,-0.0734,True,20,11040,
bhsig260_bengali,eer_skilled,0.3825,0.1914,-0.1911,-0.254,-0.129,True,20,8280,
bhsig260_hindi,eer_all,0.2682,0.2031,-0.0651,-0.1017,-0.0293,True,32,17664,shortcut-contaminated
bhsig260_hindi,eer_skilled,0.3123,0.0838,-0.2285,-0.2786,-0.1807,True,32,13248,shortcut-contaminated
