dataset,metric,resample_unit,eer_resnet18,eer_smallcnn,observed_diff,diff_ci_lower_2.5pct,diff_ci_upper_97.5pct,frac_iterations_resnet18_worse,n_resamples,n_test_writers,n_pairs
cedar,eer_all,writer,0.24077733860342554,0.21047430830039526,0.030303030303030276,0.005928853754940844,0.05040349143610014,0.995,1000,11,6072
cedar,eer_skilled,writer,0.3194993412384717,0.2812911725955204,0.03820816864295129,-0.00230566534914362,0.06982872200263501,0.972,1000,11,4554
bhsig260_bengali,eer_all,writer,0.3081521739130435,0.26847826086956517,0.03967391304347834,0.0132201086956522,0.06449728260869565,0.996,1000,20,11040
bhsig260_bengali,eer_skilled,writer,0.3824275362318845,0.3311594202898551,0.0512681159420294,0.013034420289855915,0.09474637681159426,0.99,1000,20,8280
bhsig260_hindi,eer_all,writer,0.26822916666666663,0.2519248188405797,0.016304347826086918,-0.005777287137681164,0.03963428442028976,0.919,1000,32,17664
bhsig260_hindi,eer_skilled,writer,0.3122735507246377,0.29483695652173914,0.01743659420289856,-0.012004642210144901,0.051064311594202834,0.858,1000,32,13248
