experiment,dataset,split,checkpoint,n_pairs,n_pairs_skilled_subset,test_eer_all,test_eer_skilled,test_auc,test_eer_threshold,operating_threshold_from_val,far_at_val_threshold,frr_at_val_threshold,far_skilled_at_val_threshold,frr_skilled_at_val_threshold
siamese_smallcnn_cedar,cedar,test,experiments\siamese_smallcnn_cedar\best_model.pt,6072,4554,0.1996,0.2553,0.8743,0.4736,0.4805,0.2042,0.1953,0.3215,0.1953
v0 grayscale pipeline,cedar,test,experiments\siamese_smallcnn_cedar\best_model.pt,6072,4554,0.1474,0.1703,0.9314,0.421,0.3635,0.0866,0.2177,0.1265,0.2177
